id,address,description,longitude,latitude
POZ63N,Wołczyńska 50 60-167 Poznań,Na stacji paliw Poztel,16.82821,52.37623
PLW01N,Szarotkowa 21 60-175 Poznań,Przy Netto,16.82434,52.37828
PLW04M,Grunwaldzka 469B 62-064 Plewiska,Przy Stacji Moya,16.8187,52.37318
PLW01HP,Grunwaldzka 489 62-064 Plewiska,w sklepie Duży Ben,16.81581,52.37098
PLW01A,Grunwaldzka 507 62-064 Plewiska,Przy budynku handlowo - usługowym,16.81387,52.36965
PLW01M,Grunwaldzka 513 62-064 Plewiska,Na Myjni,16.81299,52.36903
PLW02M,Poranna 6 62-064 Plewiska,W płocie od strony ulicy Porannej,16.8163,52.36019
POZ234M,Głogowska 162 60-126 Poznań,Na parkingu,16.8883,52.38519
POZ40M,Palacza 30/34 60-241 Poznań,Przy sklepie Lewiatan,16.8851,52.38826
POZ53N,Lelewela 8 61-405 Poznań,Przy sklepie Społem,16.88573,52.36009
POZ155M,Opolska 29 61-433 Poznań,Na parkingu przy sklepie Żabka,16.89837,52.36836
POZ18B,Czechosłowacka 53A 61-425 Poznań,Przy sklepie Społem,16.90052,52.37
POZ139M,Malwowa 91 60-175 Poznań,front posesji od ul. Malwowej,16.82131,52.38572
PLW07M,Zielarska 35 62-064 Plewiska,Przy Sklepie,16.81324,52.37521
POZ08A,Grunwaldzka 108 60-308 Poznań,Stacja paliw BP,16.86829,52.39659
POZ152M,Palacza 134 60-278 Poznań,Przy osiedlowym parkingu,16.87139,52.39487
POZ210M,Grunwaldzka 104 60-307 Poznań,Na parkingu marketu Lidl,16.87007,52.39647
POZ43A,Podkomorska 2 60-326 Poznań,Przy sklepie Społem,16.86574,52.39769
POZ35N,Górecka 30 60-201 Poznań,Przy Centrum Handlowym Panorama,16.89644,52.38183
POZ92M,Dmowskiego 105 60-124 Poznań,Na parkingu myjni Banieczka,16.89415,52.38378
POZ06H,Krauthofera 22C 60-203 Poznań,W lokalu użytkowym,16.89482,52.38592
LBO01A,Dębiecka 1 62-030 Luboń,Przy Centrum Handlowym Factory Outlet,16.88731,52.35371
LBO21M,Dębiecka 2 62-030 Luboń,Lidl,16.88605,52.3527
LBO02B,Żabikowska 66 62-030 Luboń,na parkingu Centrum Handlowego Pajo,16.879,52.35076
LBO10M,Żabikowska 68 62-030 Luboń,Przy stacji Shell.,16.88134,52.35057
POZ211M,Palacza 18 60-241 Poznań,Na parkingu przy markecie Lidl,16.8883,52.38875
POZ28A,Winklera 1 60-246 Poznań,Przy markecie E.Leclerc,16.89106,52.38777
POZ91M,Hetmańska 42 60-252 Poznań,Prywatna posesja od ul. Kasprzaka,16.89277,52.39031
POZ04HP,Hetmańska 55a 60-218 Poznań,w sklepie Duży Ben,16.89473,52.39009
POZ09APP,Chociszewskiego 49 60-256 Poznań,Stacja paliw MOL,16.88575,52.39363
POZ145M,Folwarczna 18 61-064 Poznań,teren prywatnej posesji,17.00623,52.39036
POZ206M,Browarna 20a 61-063 Poznań,prywatna posesja od ul. Witosława,17.02273,52.40554
POZ265M,Leszka 51 61-062 Poznań,prywatna posesja,17.01598,52.40562
POZ42N,Leszka 13 61-062 Poznań,Przy sklepie Stokrotka,17.02434,52.40776
POZ57M,os. Przemysława 21 61-064 Poznań,Przy budynku administracji osiedla,17.00318,52.38794
POZ223M,Zdzisławy 11 61-054 Poznań,teren prywatnej posesji,17.01076,52.40782
POZ31M,Dymka 212 61-245 Poznań,Na parkingu sklepu Lidl,16.99397,52.39302
POZ03B,Szwajcarska 1 61-285 Poznań,Parking pasażu Czerwona Torebka,16.99138,52.39374
SWD10M,Plac Handlowy 1 62-020 Swarzędz,"Obok sklepu ""ADI""",17.05246,52.39758
POZ01M,os. Rusa 54 61-288 Poznań,Przy pasażu handlowym,16.98695,52.39127
SWD01B,Poznańska 45 62-020 Swarzędz,Stacja benzynowa BP,17.05403,52.4036
POZ14HP,Bliźniąt 9 61-244 Poznań,w sklepie Duży Ben,16.98392,52.39308
SWD03M,Graniczna 63 62-020 Swarzędz,Parking przy Parku Handlowym,17.05663,52.4018
POZ163M,os. Rusa 58 61-245 Poznań,przy markecie Stokrotka,16.98412,52.3879
POZ204M,Zieleńska 1 61-059 Poznań,front posesji od ul. Zieleńskiej,17.04195,52.4161
SWD01HO,Graniczna 55 62-020 Swarzędz,Przy kasach sklepu SPAR.,17.06006,52.40132
SWD02A,Graniczna 55 62-020 Swarzędz,Przy supermarkecie Eurospar,17.06001,52.40132
POZ26N,Czecha 111 61-291 Poznań,Przy markecie Biedronka,16.98295,52.38662
POZ48N,Chartowo 21 61-245 Poznań,Na tyłach stacji paliw Circle K,16.98113,52.39171
ZAL02APP,Kosteckiego 1 62-020 Zalasewo,Róg ulicy Mokrej/Kosteckiego przy płocie,17.06204,52.39038
POZ146M,Warszawska 133 61-042 Poznań,na tyłach restauracji od ul. Kostrzyńskiej,16.9856,52.41014
POZ17N,Nowogrodzka 13/15 61-047 Poznań,Przy sklepie Carrefour,16.98445,52.40911
POZ290M,os. Tysiąclecia 30 61-255 Poznań,parking przy budynku,16.97602,52.39559
ZAL02M,Planetarna 20 62-020 Zalasewo,Parking przy Lidlu,17.06699,52.39031
POZ02M,os. Lecha 43 61-294 Poznań,Przy Osiedlowym Domu Kultury Orle Gniazdo,16.97488,52.39084
POZ239M,Al. Ks. M. Radziejewskiego 4 61-255 Poznań,teren zielony przy budynku,16.97479,52.39333
POZ212M,os. Lecha 15A 61-293 Poznań,przy pawilonie usługowym,16.97094,52.39165
POZ185M,Os. Czecha 5a 61-287 Poznań,Za restauracją Ratajska,16.97709,52.38272
POZ78M,Bobrzańska 11 61-248 Poznań,Ściana frontowa ALDI,16.96803,52.38698
POZ19M,Bobrzańska 19 61-245 Poznań,Przy sklepie Lidl,16.97237,52.3831
POZ11A,Abp.Baraniaka 100 61-245 Poznań,Stacja paliw Shell,16.96886,52.39987
POZ227M,Wołkowyska 4 61-132 Poznań,teren zielony przy stacji Shell,16.96926,52.39978
POZ47A,Bobrzańska 21 61-248 Poznań,Na stacji paliw Circle K,16.97356,52.3822
POZ10APP,os. Orła Białego 105 61-252 Poznań,przy budynku technicznym,16.97045,52.38209
POZ14H,Milczańska 3 61-131 Poznań,W lokalu użytkowym,16.96285,52.39541
POZ393,os. Stare Żegrze 109 61-249 Poznań,Przy markecie Netto,16.96673,52.38357
POZ45A,os. Stare Żegrze 110A 61-249 Poznań,Przy Aptece,16.96734,52.38358
POZ05N,Piłsudskiego 110 61-246 Poznań,Stacja paliw Circle K,16.96114,52.38632
POZ100M,Baraniaka 88a 61-131 Poznań,Przy wjeździe od ul. Lwowskiej,16.96423,52.40084
POZ147M,Katowicka 11C 61-131 Poznań,Przy parkingu,16.9625,52.39929
POZ162M,Oświecenia 56 61-208 Poznań,ściana szczytowa bloku mieszkalnego,16.95956,52.39228
LBO05M,Poniatowskiego 66 62-030 Luboń,Przy myjni bezdotykowej.,16.85518,52.34547
LBO19M,11 Listopada 141 62-030 Luboń,Przy sklepie Społem,16.84979,52.34452
LBO20M,11 Listopada 87A 62-030 Luboń,Luboń 11 Listopada 87,16.85965,52.34495
KOM07M,Żabikowska 89 62-052 Komorniki,Przy wjeździe na posesję przy ul. Żabikowskiej 89,16.84098,52.34171
KOM05M,Wiśniowa 12 62-052 Komorniki,Parking przy myjni bezdotykowej,16.81819,52.34944
LBO02M,11 Listopada 30 62-030 Luboń,Przy prywatnej posesji,16.87191,52.34568
LBO13M,Kościuszki 30 62-030 Luboń,Przy sklepie Żabka.,16.87445,52.34765
PLW02N,Kolejowa 85 62-064 Plewiska,Przy sklepie Żabka,16.81381,52.36375
POZ25N,Aleksandra Gabszewicza 6 61-332 Poznań,Na parkingu przy budynku mieszkalnym,16.96651,52.31251
DQX01M,Poznańska 5 61-160 Daszewice,przy sklepie spożywczym,16.95483,52.30472
DQX02M,Poznańska 94 61-160 Daszewice,W ogrodzeniu posesji ul. Poznańska 94,16.96233,52.29573
KMN03N,Jaśminowa 18 62-023 Kamionki,Obok fryzjera,16.97995,52.29118
KMN03M,Poznańska 117 62-023 Kamionki,parking Parku Handlowego Eko-Kamionki,16.9841,52.28751
POZ08M,Jarosławska 10 61-321 Poznań,Przy sklepie spożywczym,16.98649,52.34134
QNK01M,Radiowa 8 62-023 Koninko,Market Dino,17.01762,52.30784
KMN02N,Mostowa 12 62-023 Kamionki,Przy sklepie Delikatesy Centrum,16.99838,52.2873
CPR01M,Poznańska 79 61-160 Czapury,Narożnik niezabudowanej działki od ul. Poznańskiej,16.914,52.32123
SYT01M,Jeziorna 4 62-023 Szczytniki,Parking budynku handlowego,17.01763,52.30265
CPR02M,Poznańska 43 A 61-160 Czapury,Market Dino,16.91097,52.32724
KMN02M,Porannej Rosy 31A 62-023 Kamionki,Parking Maryland Kraina Języków,16.98687,52.27845
WOK01M,Poznańska 30 61-160 Wiórek,parking przy sklepie,16.90815,52.30444
KMN01ML,Na Skraju Lasu 2 62-023 Kamionki,parking przy budynku usługowym,16.99814,52.27975
POZ52M,Andrychowska 27 61-333 Poznań,Parking przy sklepie Społem,16.92407,52.34159
KMN01M,Kamienna 10 62-023 Kamionki,Posesja na ul. Kamiennej 10,17.00964,52.28196
POZ16N,Głuszyna 2 61-332 Poznań,Przy sklepie Freshmarket,16.91823,52.34171
POZ73M,Starołęcka 219 61-341 Poznań,Market Dino,16.91869,52.34413
POZ46A,Ożarowska 2 61-332 Poznań,Po lewej stronie od wejścia do sklepu,16.94291,52.35502
POZ06L,Krzywoustego 309 61-144 Poznań,Stacja paliw Shell,16.99442,52.35682
BOW02N,Główna 28C 62-023 Borówiec,Parking przed Sklepem Familijnym,17.02356,52.28094
LBO07M,Armii Poznań 103 62-030 Luboń,Przy sklepie wędkarskim,16.8878,52.32504
LBO05A,Armii Poznań 51B 62-030 Luboń,Przy myjni bezdotykowej,16.8899,52.3337
POZ34M,Starołęcka 109B 61-341 Poznań,Na parkingu przy sklepie Lidl,16.92463,52.3579
POZ50M,Gminna 3 61-312 Poznań,Teren zielony przy pawilonie handlowym,17.02659,52.35066
POZ148M,Marszałkowska 36 60-327 Poznań,teren prywatnej posesji od ul. Podkomorskiej,16.86751,52.40035
POZ264M,Grochowska 49 60-332 Poznań,Na parkingu za pawilonem handlowym,16.87544,52.39991
POZ268M,Grochowska 56 60-339 Poznań,parking za budynkiem usługowym,16.87633,52.4023
POZ56A,Rycerska 35 60-345 Poznań,Na parkingu za sklepem Fawor,16.87106,52.403
POZ11L,Świerzawska 11 60-321 Poznań,W przejściu na dziedziniec,16.86128,52.40272
POZ258M,Marcelińska 90 60-324 Poznań,Przy PGK Centrum Poznań,16.86549,52.40439
POZ295M,Marcelińska 79 60-341 Poznań,Na parkingu przy sklepie Rossmann,16.8735,52.40441
POZ213M,Swoboda 43 60-389 Poznań,Przy zakładzie optycznym,16.87204,52.40758
POZ202M,Grochowska 83 60-312 Poznań,Przy sklepie Społem,16.87491,52.4054
POZ203M,Swoboda 22 60-391 Poznań,Za pasażem handlowym,16.87171,52.40933
POZ244M,Ognik 13 60-385 Poznań,Drogeria,16.86998,52.40777
POZ67M,Zorza 3 60-369 Poznań,"Paczkomat umieszczony wzdłuż chodnika, na pasie zieleni",16.87953,52.40693
POZ190M,Ognik 20a 60-386 Poznań,Przy Siedzibie ZKZL,16.86984,52.40683
POZ22M,Bułgarska 113 60-378 Poznań,Parking Lidla,16.86759,52.40884
POZ04A,Bułgarska 119 60-378 Poznań,Stacja paliw Shell,16.86814,52.41052
POZ17B,Kolorowa 2 60-198 Poznań,Na terenie Business Garden,16.86557,52.40583
POZ21H,Bukowska 57 60-567 Poznań,W lokalu ul. Bukowska 57 - wejście od strony ul. Grodziskiej,16.88479,52.41044
POZ05APP,Przybyszewskiego 56 60-357 Poznań,Przy Klubie RONDO SM Grunwald,16.88794,52.40583
POZ27N,Bukowska 156 60-198 Poznań,Przy wejściu do Galerii od ulicy Łubieńskiej,16.86296,52.40999
POZ29N,Szamarzewskiego 89 60-568 Poznań,Przy bramie wjazdowej,16.88382,52.41354
POZ04M,Przybyszewskiego 39 60-365 Poznań,Przy parkingu DS Eskulap,16.88928,52.40524
POZ22A,Przybyszewskiego 39A 60-356 Poznań,Stacja paliw BP,16.88914,52.40656
POZ03M,Dąbrowskiego 154B 60-594 Poznań,Przy prywatnej posesji na ulicy Dąbrowskiego 154B,16.88111,52.41769
POZ222M,Engestroma 12 60-571 Poznań,Przy warsztacie samochodowym,16.8887,52.41511
POZ14M,Chrobrego 119 60-681 Poznań,Przy Chacie Polskiej,16.91462,52.45026
POZ09ML,Bolesława Śmiałego 109 61-614 Poznań,Przy markecie Biedronka,16.92246,52.45181
POZ52A,Wachowiaka 15 60-681 Poznań,Niezabudowana działka od strony ul. Wachowiaka,16.92319,52.44873
POZ15B,Obornicka 262 60-693 Poznań,Przy Zakładzie Opieki Zdrowotnej,16.90797,52.44796
POZ236M,Jaroczyńskiego 17A 60-692 Poznań,Rekrut ASG Shop,16.90978,52.45345
POZ174M,Wojciechowskiego 4 60-685 Poznań,Stacja benzynowa Circle K,16.91428,52.44382
POZ175M,Obornicka 229 60-650 Poznań,Galeria Arkada,16.90777,52.44677
POZ29M,Obornicka 282-284 60-648 Poznań,Przy budynku obok parkingu sklepu Lidl,16.90632,52.45107
POZ38M,Księcia Mieszka I 38 60-682 Poznań,"Na parkingu za sklepem Lidl, od strony CH Plaza",16.92115,52.4439
POZ186M,Jaroczyńskiego 37A 60-692 Poznań,Przy Ninja Pizza,16.90643,52.4536
POZ194M,Obornicka 263 60-693 Poznań,Stacja benzynowa MOYA,16.90471,52.45095
POZ406,RONDO OBORNICKIE 60-687 Poznań,Stacja paliw BP,16.91032,52.44339
POZ06A,Lechicka 2 61-695 Poznań,Stacja paliw Shell,16.91042,52.4429
POZ103M,Os. Stefana Batorego 101 60-687 Poznań,Przy pływalni Atlantis,16.92504,52.45623
POZ39N,Obornicka 288 60-693 Poznań,Przy Auto Serwisie,16.90415,52.45186
POZ51N,Umultowska 32 61-614 Poznań,Przy supermarkecie Intermarche po prawej stronie,16.9293,52.4518
POZ120M,Os. Chrobrego 101 60-681 Poznań,Przy sklepie Stokrotka,16.91303,52.45872
POZ159M,Stróżyńskiego 9 60-688 Poznań,Myjnia Piątkowo - paczkomat od strony Jaroczyńskiego,16.90384,52.45402
POZ217M,Drużbickiego 2 61-693 Poznań,CH Poznań Plaza,16.91852,52.44059
POZ238M,Normandzka 2 61-616 Poznań,Na prywatnej posesji,16.92945,52.44669
POZ196M,Zakrzewskiego 15 61-693 Poznań,Przy warsztacie Auto-Axel,16.91651,52.4402
POZ31A,Umultowska 2 61-614 Poznań,Stacja paliw BP,16.92987,52.44375
POZ96M,Stróżyńskiego 19 60-688 Poznań,na tyłach posesji od strony stacji paliw Orlen,16.90322,52.45744
POZ168M,Obornicka 295 60-691 Poznań,parking przy budynku,16.8994,52.45493
POZ176M,Osiedle Wichrowe Wzgórze b/n 61-686 Poznań,Przy parkingu osiedlowym,16.93024,52.44214
POZ13H,Słowackiego 41 61-001 Poznań,W lokalu ul. Słowackiego 41,16.90293,52.41147
POZ01H,Zwierzyniecka 28 60-814 Poznań,Lokal użytkowy - wejście od ulicy Prusa,16.90393,52.40927
POZ09H,Stanisława Barańczaka 3G 60-537 Poznań,Lokal użytkowy,16.90036,52.4161
POZ18H,Mylna 23 60-856 Poznań,Poznań Mylna 23,16.90821,52.41474
POZ20HP,Zwierzyniecka 32 60-814 Poznań,w sklepie Duży Ben,16.90256,52.40953
POZ13HP,Jana Henryka Dąbrowskiego 27 60-840 Poznań,w sklepie Duży Ben,16.90875,52.41176
POZ284M,Dąbrowskiego 20/22 60-839 Poznań,W prześwicie budynku,16.90958,52.41119
POZ291M,Mylna 50 60-857 Poznań,Przy sklepie Lidl,16.90832,52.41565
POZ266M,Mickiewicza 11-13 60-834 Poznań,Przy parkingu samochodowym,16.9114,52.41198
POZ287M,Janickiego 23-25 60-542 Poznań,Przy bloku mieszkalnym,16.89667,52.41715
POZ12APP,Świętego Wawrzyńca 28 60-546 Poznań,wjazd na parking osiedla,16.89893,52.4191
POZ04L,Żeromskiego 3 60-544 Poznań,Stacja paliw MOL,16.8913,52.41574
POZ07APP,Zwierzyniecka 7 60-813 Poznań,Obok Domu Studenckiego Jowita,16.91027,52.40725
POZ11APP,Norwida 17a 60-867 Poznań,Przy budynku techników SM BLOK,16.91284,52.41577
POZ282M,Poznańska 66 60-853 Poznań,parking samochodowy od ul. Poznańskiej,16.91358,52.41386
POZ97M,Roosevelta 20 60-829 Poznań,Parking hotelowy od ulicy Zwierzynieckiej,16.91081,52.4085
POZ08H,Grunwaldzka 11 60-782 Poznań,W lokalu użytkowym,16.89935,52.40557
POZ25M,Wilkońskich 1 60-543 Poznań,Przy parkingu sklepu Lidl,16.89019,52.41695
POZ119M,Niemcewicza 9 60-573 Poznań,teren parkingu samochodowego,16.88841,52.41687
POZ252M,Lindego 6 60-573 Poznań,Na parkingu przed biurowcem Pofam,16.88954,52.41837
POZ71N,Kajki 1 60-573 Poznań,Na terenie Grupy Pofam od ul. Kajki,16.89055,52.41888
POZ82M,Śniadeckich 40 60-774 Poznań,Przy wjeździe na posesję,16.90296,52.40274
KIR01M,Kierska 2G 62-090 Kiekrz,Market Dino,16.77956,52.48476
POZ74M,Chojnicka 72/74 60-480 Poznań,Przy supermarkecie,16.7823,52.4784
POZ06N,Chojnicka 53 60-480 Poznań,Przy markecie Lewiatan,16.78218,52.47749
POZ118M,Admiralska 25 60-480 Poznań,Na parkingu sklepu Lewiatan,16.77234,52.47696
KIR02M,Starzyńska 41 62-090 Kiekrz,Na parkingu Pizza Capri,16.76878,52.49723
ROK02N,Poznańska 126 62-090 Rokietnica,Na parkingu stacji paliw BP,16.75529,52.49746
CHB01M,Szamotulska 40 62-081 Chyby,Przy Myjni,16.76332,52.45962
ROK05M,Chabrowa 1 62-090 Rokietnica,Przy skrzyżowaniu ul. Chabrowa/Rolna,16.75248,52.508
NAP01M,Gościnówka b/n 62-090 Napachanie,przy sklepie spożywczym,16.72801,52.48577
CHB02M,Cedrowa 1 62-081 Chyby,Przy sklepie Nobovino,16.77089,52.45303
ROK01ML,Obornicka 1b 62-090 Rokietnica,Market Dino,16.75463,52.51291
ROK02M,Szamotulska 1B 62-090 Rokietnica,na parkingu,16.75211,52.51267
ROK03M,Trakt Napoleoński 2 62-090 Rokietnica,Na parkingu prywatnej posesji,16.74093,52.50636
ROK04M,Szamotulska 4 62-090 Rokietnica,Na parkingu Bafra Kebab,16.74981,52.51203
ROK07M,Trakt Napoleoński 8 62-090 Rokietnica,Przy Aldi,16.74048,52.507
ROK01M,Trakt Napoleoński 11 62-090 Rokietnica,Na parkingu Galerii Napoleońskiej,16.73785,52.50817
ROK06M,Szkolna 16 62-090 Rokietnica,Na parkingu sklepu Lidl,16.73722,52.50775
ROK02A,Szamotulska 29D 62-090 Rokietnica,Na parkingu przy Galerii Handlowej,16.7409,52.51295
ROK08M,Francuska 1 62-090 Rokietnica,Market Dino,16.73251,52.50945
BWO01M,Szamotulska 26 62-081 Baranowo,Na terenie Parku Handlowego,16.78706,52.44631
ROK01N,Trakt Napoleoński 41 62-090 Rokietnica,Przy budynku dentysty Rokietnica Trakt Napoleoński 41,16.73158,52.51286
ZLT02M,Łagiewnicka 23 62-002 Złotniki,Przy myjni samoobsługowej,16.84515,52.49353
ZLOT01M,Rzepakowa 9 62-002 Złotkowo,Prywatna posesja przy ul. Rzepakowej 9,16.84007,52.50719
ZLT01M,Krzemowa 1 62-002 Złotniki,Na terenie parkingu firmowego,16.84991,52.48596
BWO04M,Klonowa 46 62-081 Baranowo,Market Dino,16.7867,52.44078
POZ33M,Ostrowska 340 61-312 Poznań,Przy sklepie Lidl,16.99312,52.36693
POZ141M,Chotomińska 19 61-311 Poznań,niezabudowana działka,16.99724,52.36794
POZ116M,Szczepankowo 72 61-311 Poznań,Przy Przychodni,17.01,52.36414
POZ15N,Szczepankowo 99A 61-307 Poznań,Na parkingu,17.01712,52.36115
POZ04APP,Forteczna 34 61-371 Poznań,przy wjeździe na posesję,16.94431,52.36656
POZ54A,Stanisława Zwierzchowskiego 7 61-248 Poznań,przy budynku usługowym,16.97337,52.377
POZ66N,Franowo 1 61-302 Poznań,Na parkingu sklepu Zaopatrzenie Ogrodnicze,16.98376,52.37739
POZ67N,Falista 4 61-249 Poznań,Teren zielony przed budynkiem nr 4,16.94816,52.36998
POZ02A,Os. Orła Białego 58 61-251 Poznań,Przy sklepie Żabka,16.96652,52.37717
POZ34A,Kurlandzka 2 61-285 Poznań,Stacja paliw BP,16.95758,52.37651
POZ06APP,os. Orła Białego 5 61-250 Poznań,przy budynku hydroforowni,16.95979,52.3777
POZ131M,św. Antoniego 56 61-359 Poznań,teren zielony od ul. św. Antoniego,16.93503,52.36346
POZ132M,Sowice 34 61-306 Poznań,W płocie przy posesji prywatnej,17.02412,52.36292
POZ207M,Osiedle Armii Krajowej 125 61-381 Poznań,Przy Delikatesach Centrum,16.9539,52.37917
POZ241M,Stare Żegrze 36 61-249 Poznań,Przy SPAR,16.9576,52.3804
POZ10A,Książęca 3 61-361 Poznań,Przy markecie Biedronka,16.93105,52.36659
POZ11HP,Starołęcka 44 61-361 Poznań,w sklepie Duży Ben,16.9316,52.36884
POZ13A,Muszkowska 2 60-434 Poznań,Przy markecie Chata Polska,16.82706,52.43463
POZ233M,Lubowska 104 60-454 Poznań,Przy kwiaciarni ul. Lubowska 104,16.82174,52.43838
POZ55A,Muszkowska 1 60-443 Poznań,Przy sklepie Społem,16.82609,52.43405
POZ03N,Pniewska 15 60-446 Poznań,Przy markecie Rabat,16.82384,52.43111
POZ36M,Wejherowska 4 60-446 Poznań,Przy parkingu sklepu Lidl,16.82427,52.43125
POZ220M,Człopska 2 60-453 Poznań,W ogrodzeniu posesji przy ul. Człopskiej 2,16.81444,52.43241
POZ20A,Sianowska 151A 60-431 Poznań,Parking Apteki Krzyżowniki,16.8095,52.43495
POZ41N,Olsztyńska 2 60-416 Poznań,Przy sklepie Wielkie Wina,16.83779,52.43203
POZ157M,Chodzieska 11 60-418 Poznań,Róg ul. Chodzieskiej i Wolińskiej,16.84087,52.43293
POZ12B,Dąbrowskiego 543 60-451 Poznań,Stacja paliw BP,16.80133,52.4337
POZ03G,Tatrzańska 1/5 60-413 Poznań,Na stacji paliw MOYA,16.84928,52.42939
POZ05B,Tatrzańska 1/5 60-413 Poznań,Przy Centrum Handlowym 24,16.84914,52.42978
